,摄影师,标题,简介,相机,镜头,照片数据,流量,赞数,评论数,光圈,ISO,快门速度,快门速度(毫秒)
2236,关大宝,"少年～
我还是曾经那个少年，没有一丝丝改变...",马超·胶片滤镜女孩时尚,FUJIFILM X-T2,,"f/2.8, 1/4000s, ISO200",1254.0,22.0,2.0,2.8,200,1/4000s,0.25
2237,练昕晨,Ｗｅｄｄｉｎｇ,黑白婚纱婚礼人像写真人像爱好者高颜值女神聚集地有温度的人像极简主义，少即是多,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/5.6, 1/125s, ISO100",5408.0,101.0,4.0,5.6,100,1/125s,8.0
2238,一只砚砚呀,"＂两姓联姻缔夙愿＂

摄影/后期 : 是砚砚呀
模特 : @-八宝酥 （附带一个家眷
妆娘 : @WRJ-小洁",人像写真精选约拍少女情侣杭州汉服写真古风,SONY ILCE-7M3,SIGMA 35mm F1.4 DG HSM | Art 018,"f/1.6, 1/200s, ISO1600",2936.0,98.0,4.0,1.6,1600,1/200s,5.0
2239,游弋yoyi,出镜：火美童子 出品：有映画工作室,人像美女复古,SONY ILCE-7RM3,FE 24-70mm F2.8 GM,"f/2.8, 1/250s, ISO100",1622.0,47.0,0.0,2.8,100,1/250s,4.0
2241,KylinLau_麒麟,质感合集,时尚杂志摄影圈子时尚艺术人像商业摄影时尚摄影摄影创作商业,Nikon D850,,"f/9.0, 1/125s, ISO100",858.0,29.0,3.0,9.0,100,1/125s,8.0
2242,摄影师陈禾落落,不语~,人像爱好者拍女友才是正经事暖色调人像胶片人像摄影胶片集有温度的人像人像写真精选写真人像摄影高颜值女神聚集地分享神仙颜值人像时尚优雅肖像女人看,Canon EOS 5D Mark III,Canon EF 70-200mm f/2.8L IS II USM,"f/4.0, 1/125s, ISO100",2152.0,57.0,0.0,4.0,100,1/125s,8.0
2249,hank叔叔,模特：猫病,上海人像圈子高颜值女神聚集地分享神仙颜值人像美女日系索尼写真上海和服,SONY ILCE-7M3,SIGMA 35mm F1.4 DG HSM | Art 018,"f/1.8, 1/100s, ISO320",4059.0,125.0,0.0,1.8,320,1/100s,10.0
2250,lemon凉卜,,写真人像摄影肖像女孩人像少女情绪记录,Nikon D750,AF Nikkor 50mm f/1.4D,"f/2.8, 1/160s, ISO800",4748.0,100.0,10.0,2.8,800,1/160s,6.25
2251,森语Studio丨阿龙,“鸟屿浮云”,人像写真精选写真人像摄影时尚,Canon EOS 5D Mark IV,Canon EF 24-70mm f/4L IS USM,"f/4.0, 1/160s, ISO125",1079.0,22.0,2.0,4.0,125,1/160s,6.25
2252,倩小鱼zizi,沿着这条路，奔向治愈永不凋零的夏天。／倩小鱼客片分享／素人改造第一期第二刊,初夏将至夏天人像抓拍风光写真日系少女少女写真自然治愈日系旅摄写真集,Canon EOS 5D Mark III,Canon EF 50mm f/1.4 USM,"f/3.2, 1/3200s, ISO200",2051.0,36.0,0.0,3.2,200,1/3200s,0.3125
2253,时锍,,人像纪实抓拍佳能少女情绪写真摄影女孩,Canon EOS 6D,Canon EF 70-200mm f/2.8L IS II USM,"f/3.2, 1/800s, ISO160",827.0,20.0,2.0,3.2,160,1/800s,1.25
2256,百万伏特我丘,合肥车展 模特：朱格清柳,暖色调人像朱格清柳合肥合肥车展合肥滨湖国际会展中心国际会展中心抓拍人女人美女人像汽车的汽车展览会现代韩国车模模特车展,Canon EOS 5D Mark II,Canon EF 100-400mm f/4.5-5.6L IS USM,"f/4.5, 1/250s, ISO1600",1764.0,36.0,2.0,4.5,1600,1/250s,4.0
2260,拍设,春暖花开,“遇见春天”摄影小赛年轻肖像汉服人像色彩旅行城市时尚女孩街道人,Nikon D750,,"f/5.6, 1/500s, ISO100",1201.0,22.0,0.0,5.6,100,1/500s,2.0
2261,是孙孙酱啊,"生活奇奇怪怪
我得可可爱爱",佳能生活儿童人像纪实旅行亲子写真摄影,Canon EOS 5D Mark IV,Canon EF 35mm f/1.4L USM,"f/1.6, 1/250s, ISO500",1147.0,23.0,0.0,1.6,500,1/250s,4.0
2264,陈张翔啦,,写真少女温柔复古,Canon EOS 5D Mark III,Canon EF 85mm f/1.2L II USM,"f/2.2, 1/125s, ISO160",883.0,29.0,3.0,2.2,160,1/125s,8.0
2266,ttiiaannn-,第一篇～,拍女友才是正经事分享决定性瞬间对短发姑娘没有任何抵抗力！我们都是城市探险家分享神仙颜值肖像表情女人领带服装人像女孩时尚人色彩,Canon EOS 6D,SIGMA 50mm f/1.5 FF High-Speed Prime | 017,"f/1.4, 1/2500s, ISO160",1602.0,38.0,2.0,1.4,160,1/2500s,0.4
2268,圆脸鹊斑,少女写真｜客片分享｜成都约拍,人像写真精选肖像女孩写真时尚色彩成都约拍少女客片分享人像写真,Canon EOS 6D,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/250s, ISO200",1126.0,24.0,2.0,2.8,200,1/250s,4.0
2269,兔子映画,,人像写真精选胶片人像摄影糖水人像小组文艺私房圈子暖色调人像高颜值女神聚集地对短发姑娘没有任何抵抗力！我要上开屏我要上“首页推荐位”分享神仙颜值人像摄影写真美女光影色彩情绪,Canon EOS 6D,35mm,"f/1.4, 1/50s, ISO3200",1297.0,33.0,2.0,1.4,3200,1/50s,20.0
2276,Uta由他,,人像写真精选有温度的人像胶片人像摄影清纯小清新女孩美女,Nikon D850,24-70mm f/2.8,"f/2.8, 1/320s, ISO160",2316.0,67.0,13.0,2.8,160,1/320s,3.125
2281,Uta由他,出镜：明珠,人像写真精选美女私房女人人像港风,Nikon D850,24-70mm f/2.8,"f/2.8, 1/250s, ISO64",2681.0,69.0,12.0,2.8,64,1/250s,4.0
2284,钱进,每个人都会有阴郁的情绪吧欢迎约拍,人像私房北京约拍少女情绪北京写真blue约拍轻私房,Nikon D750,SIGMA 50mm F1.4 DG HSM | A,"f/1.6, 1/60s, ISO800",1182.0,17.0,1.0,1.6,800,1/60s,16.666666666666668
2285,跳跳的私图册,"日系JK学院风写真你喜欢吗～
前两天拍的分享给大家呀 第一次上传 日后常更～",写真人像摄影可爱漂亮的时尚女孩在室内日系少女,Canon EOS 5D Mark II,Canon EF 70-200mm f/2.8L USM,"f/2.8, 1/125s, ISO400",2313.0,27.0,2.0,2.8,400,1/125s,8.0
2293,小麦skin,一抹夕阳恰似你的温柔,色彩人像抓拍美女情绪花卉光影写真大自然,SONY ILCE-7RM3,SIGMA 135mm F1.8 DG HSM | Art 017,"f/1.8, 1/8000s, ISO50",2514.0,79.0,2.0,1.8,50,1/8000s,0.125
2295,摄影师谭炯峰,# 复古人像 # photography @ Marcus.T,胶片人像摄影有温度的人像分享神仙颜值糖水人像小组写真人像摄影美女人像群人像爱好者高颜值女神聚集地人像写真精选暖色调人像人像性感的时尚黑白纪实美丽肖像,Canon EOS 5D Mark III,Canon EF 24-70mm f/2.8L II USM,"f/11.0, 1/125s, ISO100",2972.0,27.0,2.0,11.0,100,1/125s,8.0
2296,飞翼摄影,"旗袍风情
出镜：薛薛",糖水人像小组我们都爱日系摄影人像爱好者写真人像摄影拍女友才是正经事分享神仙颜值对短发姑娘没有任何抵抗力！暖色调人像高颜值女神聚集地色彩性感的魅力漂亮的肖像女人胶片服装时尚旗袍棚拍主题魅惑人像,Canon EOS 6D Mark II,SIGMA 35mm f/1.4 DG HSM or SIGMA 35mm f/1.5 FF High-Speed Prime | 017,"f/2.2, 1/125s, ISO1600",50069.0,105.0,10.0,2.2,1600,1/125s,8.0
2297,Mr_sky,,分享神仙颜值图虫封面你做主暖色调人像美女大自然唯美小清新森系长沙长沙约拍尼康,Nikon D750,SIGMA APO 70-200mm F2.8 EX DG OS HSM,"f/2.8, 1/250s, ISO500",2305.0,65.0,2.0,2.8,500,1/250s,4.0
2299,Maruko邰,原片(因为懒… 😂),周末好时光报纸诗少女光,,,"f/5.6, 1/160s, ISO4150",1409.0,26.0,4.0,5.6,4150,1/160s,6.25
2300,林鱼里,,分享神仙颜值人像少女写真,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L USM,"f/2.8, 1/80s, ISO800",1482.0,49.0,2.0,2.8,800,1/80s,12.5
2301,妍小呆,"🌸樱花，樱花，想见你
出镜：妍小呆
摄影：军旗",我们都爱日系摄影成都人像爱好者糖水人像小组人像摄影集写真人像摄影高颜值女神聚集地日系集人像爱好者清新可爱樱花贵阳约拍春天少女人像和服约拍日系贵阳,Nikon D750,SIGMA 35mm F1.4 DG HSM,"f/2.2, 1/2500s, ISO800",2017.0,284.0,1.0,2.2,800,1/2500s,0.4
2302,Toeyo,"阳光☀️不等人
樱花🌸有限期
仙女🧚‍♀️我来拍",“遇见春天”摄影小赛人像旅行肖像女孩樱花春天阳光时尚可爱,Canon EOS 5D Mark IV,Canon EF 135mm f/2L USM,"f/3.2, 1/640s, ISO100",1029.0,20.0,0.0,3.2,100,1/640s,1.5625
2303,一卷摄影工作室,,人像写真少女女孩美女,Canon EOS 5D Mark IV,Canon EF 85mm f/1.8 USM,"f/2.8, 1/160s, ISO100",12495.0,485.0,31.0,2.8,100,1/160s,6.25
2305,摄影师-刘先森,"『   ​​在家就能拍大片 居家写真』
📷：摄影师-刘先森
👧：自己妹妹 ​​​",人像爱好者分享神仙颜值我们都爱日系摄影暖色调人像Mix.Mico人像摄影写真人像摄影人像写真摄影约拍冷色调人像高颜值女神聚集地图虫旅行摄影圈子女孩在室内表情房间服装南京南京约拍写真旅行风光人,Canon EOS 6D Mark II,Canon EF 85mm f/1.8 USM,"f/1.8, 1/160s, ISO100",1506.0,30.0,1.0,1.8,100,1/160s,6.25
2306,陆子游-,"摄影：@陆子游
出境：@甜蜜亲亲",色彩人像写真约拍昆明约拍合肥约拍旅行,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/40s, ISO160",1549.0,38.0,1.0,2.8,160,1/40s,25.0
2307,Cola_ZhangXiaoFeng,Model,分享决定性瞬间高颜值女神聚集地环球旅行摄影我们都爱日系摄影分享神仙颜值日系集极简主义摄影极简主义，少即是多摄影机位探索带我看看，你的城市时尚模型肖像服装女孩女人人像纪实街拍模特,Canon EOS 5D Mark IV,Canon EF 24-105mm f/4L IS II USM,"f/4.0, 1/125s, ISO1250",15467.0,216.0,2.0,4.0,1250,1/125s,8.0
2308,Small_P,"再热的夏天
亦不过盛夏白瓷梅子汤，碎冰碰壁铛啷响。",高颜值女神聚集地写真人像摄影我们都爱日系摄影分享神仙颜值人像写真精选暖色调人像人像爱好者人像摄影集我爱人像摄影糖水人像小组深圳深业上城小姐姐时尚年轻漂亮的休闲的,Canon EOS RP,,"f/4.0, 1/125s, ISO250",1299.0,28.0,1.0,4.0,250,1/125s,8.0
2311,圆脸鹊斑,"私房Jk｜少女写真

摄影/后期：@圆脸鹊斑
坐标：成都",人像写真精选美丽女孩女人人像私房写真时尚,Canon EOS 6D,SIGMA 35mm f/1.4 DG HSM or SIGMA 35mm f/1.5 FF High-Speed Prime | 017,"f/3.2, 1/160s, ISO500",1593.0,31.0,4.0,3.2,500,1/160s,6.25
2314,o小李飞刀O,哦买噶这是什么神仙软件,电影·T1滤镜表情头巾服装时尚脸,Apple iPhone 6,,"f/2.2, 1/33s, ISO200",897.0,24.0,2.0,2.2,200,1/33s,30.303030303030305
2315,钟好好,晴天記,人像写真精选约拍写真少女,Nikon D810,AF-S Zoom-Nikkor 24-70mm f/2.8G ED,"f/5.6, 1/125s, ISO200",831.0,19.0,0.0,5.6,200,1/125s,8.0
2317,游别思,『关于春天之天空馈赠的诗意五分钟一张』,牙疼摄影课堂人像写真色彩,SONY ILCE-7RM3,,"f/3.5, 1/125s, ISO80",976.0,31.0,1.0,3.5,80,1/125s,8.0
2321,熊猫-Yao,世间的所有好运，都只依附足够强大的人。在任何时候，你都需要变得优秀。现在的付出，将来的幸福，那些转错的弯、流下的泪，都会让你成为独一无二的自己！,2020新影像大赛美丽中国，我是行动者人像女孩少女美女洛丽塔花嫁lolita2020新影像大赛——众生相,SONY ILCE-7RM3,FE 85mm F1.4 GM,"f/1.4, 1/1250s, ISO100",881.0,20.0,0.0,1.4,100,1/1250s,0.8
2325,Richard旅行摄影,"黎明
斯洛文尼亚的布莱德湖中小岛，是斯洛文尼亚唯一的天然岛屿。无论是晨曦日落、阴晴雾雪、春夏秋冬，围绕这个仙境本仙的中心，总能捕捉到绝美瞬间。",图虫旅行摄影圈子环球旅行摄影我要上“首页推荐位”有温度的人像图虫开屏等你来占日出日落奇迹时间分享神仙颜值佳能器材党旅行写真人像日出天空湖泊教堂欧洲斯洛文尼亚环境人像佳能,,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/10s, ISO500",2161.0,135.0,6.0,2.8,500,1/10s,100.0
2327,soushou,妹纸在美国宾夕法尼亚留学中，1月份过年前回国的时候给她拍了这一组，然后几天后妹纸返校了~在微信上问妹纸美国的疫情 ，她是否回国，她说机票一票难求，5月的机票买不到，6月的也买不到，买的7月的 然后如果8月正常上课的话，那她可能就不回了~~哎，疫情闹的！,色彩人像佳能美女少女苏州日系lolita写真,Canon EOS 5D Mark IV,Canon EF 50mm f/1.4 USM,"f/2.2, 1/2500s, ISO100",972.0,27.0,0.0,2.2,100,1/2500s,0.4
2328,moretta,一组旅拍,美女复古文艺人像情绪唯美水下旅行,SONY ILCE-7RM3,,"f/2.8, 1/320s, ISO80",5261.0,116.0,3.0,2.8,80,1/320s,3.125
2329,鱼鱼Mood,"微博：@鱼鱼Mood
包教会永久网络摄影后期全能班及旅拍教学现场班正在招生中（VX:ghgsyy）",“遇见春天”摄影小赛小清新少女光合故事摄影全能班人像写真精选生活小确幸高颜值女神聚集地暖色调人像我要上“首页推荐位”分享神仙颜值我要上开屏,Canon EOS-1D X,Canon EF 50mm f/1.2L USM,"f/1.2, 1/1000s, ISO100",18670.0,425.0,29.0,1.2,100,1/1000s,1.0
2330,一只拾七,"纸 醉 金 迷
世间千百态——物质世界",人像写真精选人像爱好者暖色调人像无创意，不摄影人像胶片写真创意复古,Canon EOS RP,,"f/4.0, 1/60s, ISO6400",1033.0,17.0,0.0,4.0,6400,1/60s,16.666666666666668
2333,泉泉同学,疫情过后，你最想见到的人是谁？,Cosplay摄影集中地深大摄影交流群中山大学摄影圈拍女友才是正经事分享神仙颜值让摄影穿破次元壁漂亮的魅力肖像模型性感的时尚,SONY ILCE-7RM3,FE 85mm F1.8,"f/1.8, 1/400s, ISO100",1199.0,23.0,0.0,1.8,100,1/400s,2.5
2338,青春给了摄影,古典艺术写真约拍,襄阳汽车职业技术学院摄影圈成人女孩时尚,Canon EOS 5D Mark III,Canon EF 24-105mm f/4L IS USM,"f/5.6, 1/125s, ISO200",1084.0,22.0,1.0,5.6,200,1/125s,8.0
2339,牛牛很忙Binger,,色彩人像小清新美女索尼,SONY ILCE-7RM2,,"f/1.8, 1/160s, ISO800",4197.0,152.0,6.0,1.8,800,1/160s,6.25
2340,拾一-摄影,"雏菊花语：
深藏在心底的爱……",团子摄影大家族有温度的人像人像写真精选生活小确幸我要上开屏拍女友才是正经事我们都爱日系摄影对短发姑娘没有任何抵抗力！高颜值女神聚集地人像年轻女孩在室内时尚性感的肖像女人胶片私房雏菊裙子抓拍色彩,,Canon EF 50mm f/1.8 STM,"f/2.2, 1/250s, ISO200",3235.0,35.0,5.0,2.2,200,1/250s,4.0
2345,不是山谷317,,对短发姑娘没有任何抵抗力！一个风光摄影圈时尚杂志摄影圈子高颜值女神聚集地人像写真精选写真人像摄影分享神仙颜值人像爱好者胶片集面纱私房新娘艺术服装表演,Canon EOS 6D,Canon EF 24-70mm f/2.8L USM,"f/5.0, 1/125s, ISO125",1019.0,20.0,2.0,5.0,125,1/125s,8.0
2347,良月独立摄影,,写真人像摄影糖水人像小组汉服人像写真美女色彩尼康艺术,Nikon D700,AF-S Nikkor 85mm f/1.8G,"f/5.0, 1/400s, ISO200",815.0,16.0,0.0,5.0,200,1/400s,2.5
2348,甲虫菌,"给女朋友拍的照片

拍摄@甲虫菌",广州约拍圈子南宁摄影人糖水人像小组高颜值女神聚集地广西大学摄影圈人像爱好者女人少女少女写真私房日系日系少女美女写真胶片人像床可爱女孩,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/60s, ISO800",1740.0,38.0,0.0,2.8,800,1/60s,16.666666666666668
2349,moretta,,人像情绪私房复古写真唯美性冷淡深圳约拍,Canon EOS 6D,Canon EF 24-70mm f/2.8L II USM,"f/3.2, 1/160s, ISO100",8036.0,233.0,5.0,3.2,100,1/160s,6.25
2352,danny_wuminhao,,“遇见春天”摄影小赛人像宠物猫JK水手服少女日系清新,Nikon D610,AF Zoom-Nikkor 70-210mm f/4,"f/4.0, 1/250s, ISO125",1009.0,23.0,0.0,4.0,125,1/250s,4.0
2353,恍光,,人像色彩女孩摄影少女,SONY ILCE-7RM3,,"f/1.8, 1/320s, ISO160",829.0,18.0,0.0,1.8,160,1/320s,3.125
2358,OUYUE007,,人像私房,Canon EOS 5D Mark IV,SIGMA 24-70mm F2.8 DG OS HSM | Art 017,"f/2.8, 1/400s, ISO1250",2144.0,37.0,2.0,2.8,1250,1/400s,2.5
2361,摄影师Dee,,人像写真精选高颜值女神聚集地有温度的人像写真人像摄影时尚魅力肖像人像,Canon EOS 5D Mark IV,Canon EF 70-200mm f/2.8L IS II USM,"f/6.3, 1/100s, ISO100",1081.0,24.0,2.0,6.3,100,1/100s,10.0
2362,--西瓜汁er--,活得自由，活得放肆。,有温度的人像人像爱好者美女人像群云浮木摄影课堂人像摄影集人像写真精选写真人像摄影拍女友才是正经事人像情绪在室内房间女孩时尚七日摄影打卡计划,Canon EOS 6D,Canon EF 50mm f/1.4 USM,"f/1.4, 1/100s, ISO100",1618.0,34.0,2.0,1.4,100,1/100s,10.0
2363,一昂良,,高颜值女神聚集地写真人像摄影有温度的人像人像爱好者人像写真精选色彩人像抓拍女人佳能少女小清新,Canon EOS 5D Mark III,Canon EF 24-105mm f/4L IS USM,"f/4.0, 1/100s, ISO200",1850.0,46.0,0.0,4.0,200,1/100s,10.0
2364,会拍照的江流儿,民宿写真▪️复古港风 西安约拍,在室内民宿复古港风私房日系日系复古西安约拍西安旅游少女写真美腿连衣裙表情时尚服装模型镜房间肖像女孩对短发姑娘没有任何抵抗力！拍女友才是正经事高颜值女神聚集地糖水人像小组人像写真精选分享神仙颜值,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/100s, ISO1600",1251.0,19.0,1.0,2.8,1600,1/100s,10.0
2366,Ben603,,安徽省摄影家俱乐部日系旅摄写真集人像写真精选写真人像摄影拍女友才是正经事分享神仙颜值高颜值女神聚集地古风时尚汉服女孩人像女人日光肖像抓拍服装,Canon EOS-1D X Mark II,Canon EF 85mm f/1.2L II USM,"f/3.5, 1/125s, ISO100",1127.0,21.0,0.0,3.5,100,1/125s,8.0
2369,董维029,小美好2,我在西安拍照人像美女私房写真,Canon EOS 6D Mark II,Canon EF 50mm f/1.2L USM,"f/1.2, 1/40s, ISO250",1413.0,36.0,4.0,1.2,250,1/40s,25.0
2371,Color卡拉,模特：Tako,人像私房,SONY ILCE-7RM3,,"f/2.2, 1/60s, ISO100",19922.0,420.0,13.0,2.2,100,1/60s,16.666666666666668
2376,sce的星河,,杭州人像摄影交流写真人像摄影糖水人像小组服装时尚黑暗肖像女孩人像,Canon EOS 6D Mark II,Canon EF 85mm f/1.8 USM,"f/2.2, 1/40s, ISO6400",597.0,31.0,2.0,2.2,6400,1/40s,25.0
2380,阿凯森赛,大爱青橙,糖水人像小组风光人像色彩漂亮的时尚年轻青橙Lightroom教程调色摄影后期,SONY ILCE-7M2,FE 85mm F1.8,"f/1.8, 1/640s, ISO250",1580.0,29.0,1.0,1.8,250,1/640s,1.5625
2381,飞翼摄影,"开心藏不住
出镜：嘉嘉",糖水人像小组我们都爱日系摄影人像爱好者写真人像摄影拍女友才是正经事分享神仙颜值对短发姑娘没有任何抵抗力！暖色调人像高颜值女神聚集地漂亮的连衣裙服装可爱女孩色彩街拍时尚胶片肖像城市清新人像,Canon EOS 6D Mark II,Canon EF 135mm f/2L USM,"f/2.2, 1/200s, ISO1600",6979.0,143.0,17.0,2.2,1600,1/200s,5.0
2382,摄影师jason哥,摄影师——jason 哥模    特——曾双器    材——5d3镜    头——85 1.2\70-200,人像写真精选人像美女写真小清新可爱日系女孩私房时尚街道连衣裙街拍,Canon EOS 5D Mark III,Canon EF 85mm f/1.8 USM,"f/2.0, 1/80s, ISO320",1371.0,24.0,2.0,2.0,320,1/80s,12.5
2386,AM_Filmmaker,本人现已不从事摄影行业，纯创作，坐标深圳，以人像为主（目前在尝试创作视频录制，就是微电影的感觉），欢迎妹子帅哥约我（各种风格都想尝试，欢迎有趣有想法同样想创作的人），互免哦~另外有其他摄影需求的（任何需求都可以！）可以咨询我看看能不能拍，我想尝试挑战拍所有题材（产品景物风景儿童都可尝试，一样免费，但效果未知哈哈），欢迎私信哦！,人像旅行街拍摄影写真深圳约拍约拍儿童摄影深圳人像写真,Nikon D810,AF-S Nikkor 85mm f/1.4G,"f/2.2, 1/1600s, ISO64",1155.0,21.0,1.0,2.2,64,1/1600s,0.625
2388,天堂里没有爱,又拍cos了,人像色彩美女女孩情绪Cosplay,SONY ILCE-7RM3,SIGMA 35mm F1.4 DG HSM | Art 018,"f/1.8, 1/100s, ISO800",2601.0,48.0,5.0,1.8,800,1/100s,10.0
2391,花辞树-,男孩子安排 蓝色！,人像写真精选时尚人肖像人像服装男生男生写真,Canon EOS 80D,Canon EF-S 18-135mm f/3.5-5.6 IS USM,"f/7.1, 1/125s, ISO100",1739.0,28.0,5.0,7.1,100,1/125s,8.0
2393,娜丝佳,"剪纸遇到中国红🇨🇳

凤髻金泥带，龙纹玉掌梳。走来窗下笑相扶，爱道画眉深浅入时无？",人像美丽女孩色彩时尚肖像人,Canon EOS 200D,Canon EF 50mm f/1.8 STM,"f/2.8, 1/160s, ISO320",1041.0,19.0,2.0,2.8,320,1/160s,6.25
2396,Light_Chaser,人间最美四月天,我们都爱日系摄影自然摄影小组圈子南京摄影约拍圈春天的歌周末好时光漂亮的日系写真女生春天约拍人像女孩大自然抓拍色彩小清新,Nikon D810,,"f/2.8, 1/3200s, ISO100",11119.0,251.0,3.0,2.8,100,1/3200s,0.3125
2397,常雨祥,"永远屈服于温柔

摄影：常雨祥",高颜值女神聚集地我在西安拍照分享神仙颜值人像写真精选美女人像群写真人像摄影暖色调人像胶片人像摄影对短发姑娘没有任何抵抗力！杭州人像摄影交流日系长凳鞋类位置坐在肖像女孩女人胶片少女日系写真西安约拍风光色彩人像服装时尚坐,,Canon EF 50mm f/1.8 STM,"f/1.8, 1/800s, ISO100",916.0,22.0,0.0,1.8,100,1/800s,1.25
2399,一个忘了吃药的摄影师,有种性感叫高级的慵懒,人像写真精选高颜值女神聚集地暖色调人像人像写真摄影约拍性感的漂亮的年轻女孩人像时尚人物魅力女士,Canon EOS 5D Mark III,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/200s, ISO640",7568.0,42.0,2.0,2.8,640,1/200s,5.0
2403,弓長石三_,那失望也不失望，惆怅也不惆怅，都在风中飞扬。,河北摄影圈分享神仙颜值日系集有温度的人像糖水人像小组高颜值女神聚集地人像爱好者婚礼与写真摄影人像写真复古轻婚纱婚纱胶片色美女少女连衣裙色彩兰州,Canon EOS 6D Mark II,Canon EF 50mm f/1.4 USM,"f/2.0, 1/160s, ISO400",999.0,18.0,2.0,2.0,400,1/160s,6.25
2404,Knight265,,人文手机美食风光日系Cosplay私房教程萌宠,Canon EOS 5D Mark IV,Canon EF 24-70mm f/4L IS USM,"f/4.0, 1/200s, ISO100",710.0,14.0,0.0,4.0,100,1/200s,5.0
2406,Nicol_SHU,民宿写真,在室内女孩私房私密人像写真馆文艺私房圈子,Canon EOS 5D Mark III,Canon EF 35mm f/1.4L USM,"f/2.0, 1/30s, ISO100",1285.0,33.0,1.0,2.0,100,1/30s,33.333333333333336
2411,LeoShawn,福建嵛山岛，一个海天一线的地方,清纯日系随拍人像夏季小清新文艺美女安徽工业大学摄影圈糖水人像小组高颜值女神聚集地人像摄影集,Canon EOS 6D Mark II,Canon EF 35mm f/1.4L II USM,"f/2.2, 1/4000s, ISO100",5437.0,113.0,14.0,2.2,100,1/4000s,0.25
2413,一卷摄影工作室,,人像女孩美女小清新佳能,Canon EOS 5D Mark IV,Canon EF 85mm f/1.8 USM,"f/2.0, 1/400s, ISO640",1257.0,39.0,1.0,2.0,640,1/400s,2.5
2414,邪术教主,人像精修,人像写真精选沉思的女孩在室内眼魅力时尚肖像人像皮肤表情修图教程,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/13.0, 1/100s, ISO800",1047.0,21.0,1.0,13.0,800,1/100s,10.0
2415,无声雀,左右的闪光灯老是不能同步，遮光板也不够，遗憾。,人像少女美女光写真肖像在室内表情黑白拍女友才是正经事,Canon EOS 5D Mark IV,Canon EF 85mm f/1.8 USM,"f/11.0, 1/125s, ISO100",2188.0,54.0,1.0,11.0,100,1/125s,8.0
2422,姚艺杰,《温柔了阳光》,高颜值女神聚集地生活小确幸分享神仙颜值暖色调人像有温度的人像对短发姑娘没有任何抵抗力！人像爱好者文艺私房圈子写真人像摄影日系集黑白台阶城市人像人手机胶片旅行色彩抓拍风光女生情绪日系复古街拍女人学生深圳,,,"f/5.6, 1/1250s, ISO320",835.0,22.0,2.0,5.6,320,1/1250s,0.8
2423,人像摄影师JAM,,人像女孩少女情绪,Canon EOS 5D Mark II,Canon EF 85mm f/1.8 USM,"f/1.8, 1/80s, ISO1250",536.0,16.0,0.0,1.8,1250,1/80s,12.5
2425,文刀木雨,温柔是昏昏欲睡的诉求,初夏将至2020新影像大赛大学生plog挑战赛摄影颜值少女2020新影像大赛——众生相人像色彩女孩日系抓拍,Canon EOS 6D,Canon EF 24mm f/1.4L II USM,"f/2.0, 1/60s, ISO1000",991.0,25.0,1.0,2.0,1000,1/60s,16.666666666666668
2426,藤丼樹,#女孩与锹甲虫#|没错了，这就是《蜡笔小新》中小新最喜欢抓的锹形虫了。,对短发姑娘没有任何抵抗力！美女人像群写真人像摄影分享神仙颜值人像爱好者女性虫子观念夏天约拍少女情绪胶片复古女孩人像模特嘴唇色彩魅力人像摄影长沙,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/500s, ISO1600",930.0,20.0,0.0,2.8,1600,1/500s,2.0
2429,水元素,,2020百姓生活街头摄影双月赛（一二月）风光色彩人像城市旅行小清新美女50mm洛丽塔lolita,SONY ILCE-7M2,,"f/2.0, 1/160s, ISO125",4592.0,144.0,10.0,2.0,125,1/160s,6.25
2431,闪闪欧尼酱,关注微博@闪闪PHOTO,人像胶片少女小清新日系情绪旅行海边JK复古,Canon EOS 6D,Canon EF 135mm f/2L USM,"f/2.8, 1/500s, ISO800",1105.0,31.0,2.0,2.8,800,1/500s,2.0
2432,圆滚滚184,,爬楼联盟圈子存储花胶片风色彩街拍,Canon EOS M50,,"f/5.0, 1/125s, ISO100",1110.0,22.0,2.0,5.0,100,1/125s,8.0
2434,藤丼樹,5月的荒野上会刮一万种风，但人间只一个我。|@阿凡,人像写真馆夏季人像胶片大自然草河滩少女约拍情绪,Canon EOS 5D Mark IV,Canon EF 24-70mm f/2.8L II USM,"f/2.8, 1/800s, ISO100",9111.0,243.0,22.0,2.8,100,1/800s,1.25
